source,target,weight
LD.Ptepar_usersample,outsidemouthT1.U3.536657,0.97568043219905365
LD.Ptepar_usersample,H47Di.735993,0.97622655256186708
LD.Ptepar_usersample,SKM7.640188,0.97638514322497105
LD.Ptepar_usersample,Ab.swab.T7.U1.536324,0.97678816038328053
LD.Ptepar_usersample,H45Fr.735904,0.97777280678355105
LD.Ptepar_usersample,H25Tv.735968,0.97794663251909897
LD.Ptepar_usersample,LD.NBS1080E.710948,0.97808290211053783
LD.Ptepar_usersample,H43Do.735914,0.97920748573823857
LD.Ptepar_usersample,LD.NBS1084B.710923,0.97930122437906897
LD.Ptepar_usersample,UNKNOWN.2.983806,0.97949114835933793
LD.Ptepar_usersample,water9.20.481319,0.9796172573870362
LD.Ptepar_usersample,Salti.Rightpalm.983901,0.97993106932964158
LD.Ptepar_usersample,Ab.swab.T6.U5.536340,0.98045547762017604
LD.Ptepar_usersample,Erlandson.Rightpalm.983944,0.98106230246615789
LD.Ptepar_usersample,Vinedale.Mouth.983753,0.98108372380196729
LD.Ptepar_usersample,H57Cb.735926,0.98138219409237126
LD.Ptepar_usersample,Witch.Stool.984007,0.98141071392967549
LD.Ptepar_usersample,H56Dh.736028,0.98166991974723006
LD.Ptepar_usersample,H61Kc.735951,0.98167179950900185
LD.Ptepar_usersample,H51Tv.736045,0.98181793554660513
LD.Ptepar_usersample,Ab.reswab.T1.S3.536737,0.98197971950910889
LD.Ptepar_usersample,NICU.48.1129827,0.98202134348112091
LD.Ptepar_usersample,Postscript.Stool.983740,0.98228074665627252
LD.Ptepar_usersample,belly.reswab.TO.S5.536632,0.98229263847227632
LD.Ptepar_usersample,Tewnac.Rightpalm.983909,0.98244793035891309
LD.Ptepar_usersample,Starratt.Mouth.983857,0.98250177210520651
LD.Ptepar_usersample,UNKNOWN.6.984020,0.98252854426920733
LD.Ptepar_usersample,Innkeeper.Stool.984084,0.98285063800391792
LD.Ptepar_usersample,January.Forehead.983875,0.98289797267694212
LD.Ptepar_usersample,Foothill.Rightpalm.983935,0.98298627297424201
LD.Ptepar_usersample,NZFACE.R1.Browntop.604747,0.98316168776995005
LD.Ptepar_usersample,Sylvanus.Forehead.983979,0.98330177385437723
LD.Ptepar_usersample,Digregorio.Stool.983827,0.98335473310670429
LD.Ptepar_usersample,E1A03BALA.481378,0.9835328558700317
LD.Ptepar_usersample,Salti.Stool.983744,0.98363434800461258
LD.Ptepar_usersample,H25Dh.735938,0.98404303493815182
LD.Ptepar_usersample,Slades.Leftpalm.983748,0.9840449195682992
LD.Ptepar_usersample,Pasho.Rightpalm.983838,0.98409242299924971
LD.Ptepar_usersample,Nobscot.Leftpalm.983756,0.98441311516670382
LD.Ptepar_usersample,Padanaran.Stool.984042,0.98441847590708664
LD.Ptepar_usersample,H57Dh.735975,0.98447366624193033
LD.Ptepar_usersample,Witch.Mouth.983948,0.98449588649264796
LD.Ptepar_usersample,Hager.Stool.983809,0.98454693096346435
LD.Ptepar_usersample,Zambon.Rightpalm.983924,0.98487024275871615
LD.Ptepar_usersample,Stannes.Leftpalm.984044,0.98522886342845373
LD.Ptepar_usersample,Tewnac.Forehead.983913,0.9853182987134218
LD.Ptepar_usersample,H45Kc.735996,0.9853187681599227
LD.Ptepar_usersample,Menekish.Rightpalm.983701,0.98534164767609778
LD.Ptepar_usersample,SKM9.640192,0.98537422494650051
LD.Ptepar_usersample,Delmore.Leftpalm.983802,0.98543876284233078
LD.Ptepar_usersample,Cochituate.Rightpalm.983780,0.98554871463491034
LD.Ptepar_usersample,Hager.Rightpalm.984019,0.98560549720051815
LD.Ptepar_usersample,Elmira.Forehead.984078,0.98585228670402558
LD.Ptepar_usersample,Sandale.Forehead.983895,0.98587065051508527
LD.Ptepar_usersample,Pinrock.Forehead.983973,0.98589936114445664
